tempo,msd,msd_ajuste_potencia
2230,2472.8,2350.6840429975146
2231,2439.4,2351.755871771426
2232,2412.8,2352.8277086152107
2233,2364.2,2353.899553525314
2234,2362.4,2354.971406498184
2235,2362.6,2356.0432675302727
2236,2329.2,2357.1151366180343
2237,2316.2,2358.187013757927
2238,2270.4,2359.2588989464107
2239,2295.4,2360.3307921799505
2240,2274.0,2361.402693455014
2241,2319.4,2362.4746027680703
2242,2328.4,2363.546520115593
2243,2317.8,2364.6184454940594
2244,2287.2,2365.6903788999484
2245,2302.6,2366.7623203297435
2246,2286.8,2367.8342697799303
2247,2301.0,2368.906227246998
2248,2286.8,2369.978192727438
2249,2306.6,2371.050166217746
2250,2315.6,2372.1221477144204
2251,2285.0,2373.1941372139627
2252,2303.2,2374.2661347128765
2253,2313.8,2375.3381402076707
2254,2348.0,2376.4101536948547
2255,2351.4,2377.482175170943
2256,2336.8,2378.5542046324513
2257,2307.4,2379.6262420759003
2258,2260.0,2380.698287497813
2259,2245.0,2381.7703408947145
2260,2202.0,2382.8424022631343
2261,2213.0,2383.9144715996044
2262,2201.6,2384.9865489006597
2263,2134.6,2386.0586341628386
2264,2146.8,2387.130727382682
2265,2158.6,2388.202828556734
2266,2166.4,2389.274937681542
2267,2153.0,2390.347054753656
2268,2166.4,2391.419179769629
2269,2178.6,2392.491312726018
2270,2151.6,2393.563453619381
2271,2180.2,2394.6356024462816
2272,2147.2,2395.7077592032842
2273,2161.8,2396.779923886958
2274,2201.6,2397.852096493873
2275,2211.4,2398.9242770206038
2276,2193.6,2399.9964654637283
2277,2169.8,2401.068661819826
2278,2158.0,2402.1408660854804
2279,2133.0,2403.2130782572776
2280,2097.6,2404.285298331807
2281,2136.2,2405.35752630566
2282,2120.4,2406.429762175432
2283,2137.8,2407.5020059377216
2284,2125.6,2408.574257589129
2285,2139.4,2409.6465171262585
2286,2157.6,2410.718784545717
2287,2173.8,2411.791059844114
2288,2192.8,2412.863343018062
2289,2217.0,2413.935634064178
2290,2228.4,2415.007932979079
2291,2244.2,2416.080239759388
2292,2288.0,2417.1525544017286
2293,2329.0,2418.2248769027283
2294,2371.2,2419.2972072590173
2295,2373.8,2420.3695454672297
2296,2356.4,2421.4418915240008
2297,2344.2,2422.5142454259694
2298,2374.8,2423.5866071697783
2299,2393.0,2424.6589767520713
2300,2414.8,2425.7313541694975
2301,2389.0,2426.8037394187068
2302,2370.8,2427.8761324963525
2303,2352.2,2428.948533399091
2304,2366.8,2430.020942123582
2305,2447.4,2431.0933586664873
2306,2452.4,2432.165783024472
2307,2465.0,2433.2382151942043
2308,2458.4,2434.310655172355
2309,2465.0,2435.383102955597
2310,2457.6,2436.4555585406074
2311,2484.2,2437.5280219240653
2312,2473.6,2438.6004931026528
2313,2479.4,2439.6729720730555
2314,2421.2,2440.7454588319606
2315,2429.8,2441.817953376059
2316,2445.6,2442.890455702044
2317,2425.8,2443.9629658066124
2318,2446.0,2445.035483686463
2319,2399.4,2446.108009338299
2320,2364.8,2447.1805427588233
2321,2321.0,2448.2530839447454
2322,2376.0,2449.325632892774
2323,2329.0,2450.3981895996244
2324,2291.6,2451.470754062011
2325,2259.4,2452.5433262766533
2326,2304.8,2453.6159062402735
2327,2270.6,2454.6884939495953
2328,2290.4,2455.761089401346
2329,2351.4,2456.8336925922563
2330,2380.4,2457.906303519059
2331,2374.6,2458.9789221784886
2332,2385.2,2460.051548567285
2333,2340.2,2461.1241826821883
2334,2419.2,2462.196824519943
2335,2401.0,2463.269474077296
2336,2384.4,2464.342131350996
2337,2422.6,2465.414796337796
2338,2425.2,2466.4874690344504
2339,2350.6,2467.560149437718
2340,2346.0,2468.632837544358
2341,2358.6,2469.7055333511344
2342,2376.8,2470.778236854813
2343,2387.4,2471.850948052162
2344,2413.2,2472.9236669399543
2345,2422.6,2473.9963935149626
2346,2442.0,2475.0691277739643
2347,2461.8,2476.1418697137397
2348,2476.4,2477.21461933107
2349,2411.4,2478.2873766227412
2350,2391.2,2479.360141585541
2351,2426.6,2480.432914216259
2352,2363.6,2481.50569451169
2353,2426.6,2482.578482468629
2354,2438.4,2483.651278083874
2355,2436.2,2484.7240813542276
2356,2455.2,2485.796892276493
2357,2470.6,2486.8697108474767
2358,2446.0,2487.942537063989
2359,2475.4,2489.015370922841
2360,2518.4,2490.088212420849
2361,2535.4,2491.1610615548284
2362,2516.4,2492.2339183216004
2363,2536.2,2493.3067827179875
2364,2539.2,2494.3796547408156
2365,2505.8,2495.4525343869122
2366,2537.2,2496.525421653109
2367,2485.0,2497.5983165362377
2368,2496.0,2498.671219033136
2369,2490.6,2499.744129140642
2370,2554.8,2500.8170468555973
2371,2573.0,2501.8899721748453
2372,2522.4,2502.9629050952335
2373,2547.4,2504.0358456136105
2374,2528.4,2505.1087937268285
2375,2497.0,2506.1817494317424
2376,2524.0,2507.2547127252083
2377,2497.8,2508.3276836040877
2378,2537.2,2509.4006620652412
2379,2508.2,2510.473648105535
2380,2475.2,2511.5466417218367
2381,2446.6,2512.619642911016
2382,2442.0,2513.692651669946
2383,2425.0,2514.7656679955026
2384,2445.6,2515.838691884563
2385,2417.8,2516.911723334009
2386,2398.0,2517.9847623407227
2387,2381.8,2519.0578089015903
2388,2367.6,2520.130863013501
2389,2321.0,2521.2039246733448
2390,2329.6,2522.276993878016
2391,2289.0,2523.3500706244113
2392,2326.4,2524.4231549094275
2393,2345.0,2525.496246729968
2394,2346.8,2526.569346082935
2395,2340.2,2527.6424529652363
2396,2326.4,2528.7155673737807
2397,2339.4,2529.788689305479
2398,2283.2,2530.861818757246
2399,2258.6,2531.9349557259984
2400,2247.2,2533.0081002086545
2401,2235.4,2534.081252202138
2402,2259.6,2535.1544117033714
2403,2338.6,2536.2275787092826
2404,2330.0,2537.3007532168003
2405,2338.6,2538.3739352228567
2406,2405.6,2539.4471247243864
2407,2381.0,2540.5203217183266
2408,2360.8,2541.593526201617
2409,2391.4,2542.666738171198
2410,2459.6,2543.739957624016
2411,2433.8,2544.813184557018
2412,2429.2,2545.886418967152
2413,2437.0,2546.9596608513716
2414,2436.4,2548.032910206631
2415,2419.4,2549.106167029887
2416,2410.4,2550.179431318099
2417,2389.0,2551.25270306823
2418,2394.4,2552.325982277244
2419,2461.0,2553.399268942108
2420,2516.0,2554.4725630597914
2421,2501.8,2555.545864627267
2422,2526.8,2556.6191736415085
2423,2510.6,2557.692490099493
2424,2491.6,2558.765813998201
2425,2449.0,2559.8391453346126
2426,2453.6,2560.912484105714
2427,2463.4,2561.985830308491
2428,2520.4,2563.059183939934
2429,2499.4,2564.132544997033
2430,2553.2,2565.205913476784
2431,2580.2,2566.2792893761834
2432,2494.4,2567.3526726922296
2433,2481.8,2568.4260634219245
2434,2481.2,2569.4994615622722
2435,2490.6,2570.5728671102797
2436,2520.4,2571.646280062955
2437,2574.6,2572.7197004173104
2438,2626.4,2573.7931281703586
2439,2682.6,2574.8665633191176
2440,2739.6,2575.940005860604
2441,2797.0,2577.01345579184
2442,2812.0,2578.0869131098493
2443,2865.0,2579.160377811657
2444,2825.6,2580.2338498942913
2445,2783.4,2581.3073293547845
2446,2806.4,2582.3808161901684
2447,2828.2,2583.454310397479
2448,2816.4,2584.5278119737536
2449,2850.6,2585.6013209160337
2450,2871.6,2586.674837221361
2451,2853.0,2587.748360886781
2452,2885.6,2588.821891909342
2453,2866.6,2589.895430286093
2454,2880.0,2590.968976014086
2455,2897.0,2592.042529090377
2456,2920.8,2593.116089512022
2457,2960.2,2594.18965727608
2458,2976.4,2595.263232379615
2459,3002.6,2596.336814819689
2460,3012.8,2597.4104045933695
2461,3029.0,2598.484001697725
2462,3015.2,2599.5576061298275
2463,3032.2,2600.63121788675
2464,3044.0,2601.7048369655686
2465,3036.2,2602.778463363362
2466,3078.4,2603.8520970772106
2467,3059.4,2604.925738104197
2468,3047.6,2605.9993864414078
2469,3093.8,2607.0730420859295
2470,3066.0,2608.1467050348533
2471,3007.4,2609.2203752852706
2472,3028.0,2610.2940528342765
2473,3012.2,2611.3677376789688
2474,3067.6,2612.4414298164456
2475,3081.8,2613.51512924381
2476,3115.6,2614.5888359581645
2477,3067.4,2615.662549956617
2478,3096.8,2616.7362712362756
2479,3086.6,2617.809999794251
2480,3123.2,2618.8837356276567
2481,3061.8,2619.9574787336087
2482,3086.4,2621.031229109224
2483,3104.2,2622.104986751624
2484,3129.6,2623.1787516579307
2485,3109.0,2624.252523825269
2486,3045.6,2625.3263032507657
2487,3034.6,2626.40008993155
2488,3024.4,2627.473883864755
2489,3057.0,2628.5476850475134
2490,3129.2,2629.621493476962
2491,3117.8,2630.6953091502387
2492,3129.2,2631.7691320644853
2493,3134.6,2632.842962216844
2494,3114.0,2633.916799604461
2495,3081.8,2634.9906442244837
2496,3101.2,2636.064496074062
2497,3103.4,2637.1383551503473
2498,3132.8,2638.2122214504957
2499,3101.8,2639.2860949716624
2500,3113.2,2640.3599757110073
2501,3154.6,2641.4338636656903
2502,3089.6,2642.507758832877
2503,3121.0,2643.581661209731
2504,3101.2,2644.6555707934217
2505,3156.2,2645.7294875811185
2506,3176.0,2646.8034115699948
2507,3158.6,2647.8773427572237
2508,3110.8,2648.9512811399836
2509,3061.0,2650.025226715453
2510,3027.2,2651.0991794808137
2511,2995.4,2652.1731394332483
2512,2969.2,2653.2471065699438
2513,2985.8,2654.3210808880876
2514,2953.6,2655.39506238487
2515,2943.4,2656.4690510574837
2516,2914.0,2657.543046903124
2517,2868.2,2658.617049918986
2518,2886.0,2659.691060102271
2519,2871.4,2660.7650774501785
2520,2853.6,2661.8391019599135
2521,2865.8,2662.913133628681
2522,2880.4,2663.9871724536883
2523,2893.0,2665.0612184321467
2524,2906.0,2666.135271561268
2525,2924.2,2667.209331838267
2526,2892.4,2668.28339926036
2527,2911.4,2669.357473824766
2528,2874.4,2670.431555528706
2529,2890.6,2671.505644369404
2530,2938.8,2672.579740344084
2531,2879.4,2673.6538434499744
2532,2885.6,2674.727953684305
2533,2825.8,2675.802071044308
2534,2834.0,2676.8761955272166
2535,2790.6,2677.9503271302683
2536,2805.6,2679.024465850701
2537,2721.8,2680.098611685755
2538,2701.6,2681.172764632673
2539,2743.4,2682.2469246887003
2540,2789.2,2683.321091851084
2541,2765.0,2684.395266117073
2542,2748.4,2685.4694474839184
2543,2797.0,2686.543635948875
2544,2842.4,2687.6178315091965
2545,2899.4,2688.692034162142
2546,2882.8,2689.766243904972
2547,2867.4,2690.8404607349466
2548,2893.2,2691.9146846493313
2549,2925.8,2692.9889156453924
2550,2929.2,2694.063153720398
2551,2930.6,2695.1373988716186
2552,2916.8,2696.2116510963274
2553,2957.8,2697.2859103917986
2554,2943.2,2698.360176755309
2555,2922.6,2699.4344501841388
2556,2938.0,2700.508730675568
2557,2956.2,2701.5830182268805
2558,2940.4,2702.657312835361
2559,2878.6,2703.7316144982974
2560,2846.0,2704.8059232129795
2561,2913.0,2705.880238976699
2562,2890.4,2706.954561786749
2563,2889.0,2708.028891640425
2564,2924.0,2709.1032285350266
2565,2920.2,2710.177572467853
2566,2953.2,2711.2519234362057
2567,2973.8,2712.32628143739
2568,2996.4,2713.400646468712
2569,2981.0,2714.4750185274793
2570,2941.2,2715.549397611003
2571,2979.4,2716.623783716595
2572,2946.0,2717.6981768415712
2573,2945.0,2718.772576983247
2574,2960.4,2719.8469841389415
2575,2958.6,2720.921398305976
2576,2972.8,2721.995819481673
2577,2972.2,2723.0702476633573
2578,2995.2,2724.144682848356
2579,2996.2,2725.2191250339984
2580,3021.6,2726.293574217615
2581,3025.8,2727.36803039654
2582,3044.0,2728.4424935681072
2583,3025.0,2729.516963729655
2584,3010.0,2730.5914408785225
2585,3054.6,2731.6659250120506
2586,3036.8,2732.740416127583
2587,2998.6,2733.814914222466
2588,2953.6,2734.8894192940447
2589,2945.0,2735.963931339671
2590,2930.0,2737.038450356695
2591,2928.2,2738.1129763424706
2592,2921.6,2739.1875092943537
2593,2893.0,2740.2620492097017
2594,2934.8,2741.336596085874
2595,2850.6,2742.411149920232
2596,2877.6,2743.48571071014
2597,2844.2,2744.5602784529638
2598,2815.6,2745.634853146071
2599,2764.2,2746.7094347868297
2600,2770.4,2747.7840233726133
2601,2778.6,2748.858618900795
2602,2759.2,2749.933221368751
2603,2756.2,2751.007830773858
2604,2772.8,2752.082447113497
2605,2741.0,2753.1570703850484
2606,2744.8,2754.2317005858963
2607,2781.8,2755.3063377134267
2608,2767.6,2756.380981765027
2609,2725.8,2757.4556327380874
2610,2740.4,2758.5302906299985
2611,2724.2,2759.604955438155
2612,2706.0,2760.679627159951
2613,2707.4,2761.7543057927855
2614,2760.8,2762.828991334058
2615,2757.0,2763.903683781169
2616,2740.0,2764.978383131523
2617,2777.0,2766.053089382525
2618,2721.6,2767.127802531583
2619,2706.6,2768.202522576105
2620,2653.2,2769.2772495135036
