tempo,msd,msd_ajuste_potencia
5706,2238.4,3011.374285653574
5707,2187.4,3011.79176891697
5708,2198.4,3012.2092368967064
5709,2177.8,3012.6266895960216
5710,2178.8,3013.044127018151
5711,2204.2,3013.4615491663285
5712,2221.2,3013.8789560437876
5713,2233.8,3014.2963476537607
5714,2253.2,3014.7137239994777
5715,2226.6,3015.1310850841687
5716,2200.4,3015.5484309110616
5717,2226.6,3015.9657614833836
5718,2241.6,3016.3830768043604
5719,2273.0,3016.8003768772164
5720,2273.6,3017.217661705174
5721,2309.0,3017.6349312914567
5722,2282.4,3018.0521856392843
5723,2329.8,3018.4694247518764
5724,2346.4,3018.8866486324514
5725,2357.0,3019.303857284226
5726,2369.6,3019.721050710416
5727,2397.8,3020.1382289142366
5728,2396.4,3020.5553918989
5729,2377.0,3020.9725396676195
5730,2406.8,3021.3896722236045
5731,2386.6,3021.8067895700656
5732,2338.4,3022.223891710211
5733,2386.6,3022.6409786472473
5734,2354.0,3023.0580503843807
5735,2375.4,3023.475106924816
5736,2372.0,3023.892148271756
5737,2345.8,3024.3091744284034
5738,2376.8,3024.726185397959
5739,2394.6,3025.143181183623
5740,2375.2,3025.5601617885923
5741,2379.4,3025.9771272160656
5742,2411.6,3026.3940774692383
5743,2437.8,3026.8110125513053
5744,2479.2,3027.2279324654605
5745,2460.2,3027.6448372148957
5746,2510.0,3028.061726802802
5747,2524.2,3028.4786012323693
5748,2502.0,3028.895460506786
5749,2489.0,3029.3123046292403
5750,2511.2,3029.7291336029184
5751,2500.2,3030.145947431004
5752,2483.2,3030.5627461166814
5753,2509.8,3030.9795296631337
5754,2487.2,3031.396298073542
5755,2453.8,3031.813051351086
5756,2503.6,3032.2297894989447
5757,2522.6,3032.646512520296
5758,2574.0,3033.0632204183153
5759,2538.6,3033.479913196179
5760,2549.6,3033.896590857061
5761,2538.6,3034.313253404133
5762,2549.6,3034.729900840567
5763,2573.0,3035.1465331695345
5764,2562.0,3035.5631503942027
5765,2553.0,3035.9797525177405
5766,2562.0,3036.396339543315
5767,2592.2,3036.812911474091
5768,2634.0,3037.2294683132327
5769,2610.6,3037.6460100639038
5770,2585.6,3038.062536729265
5771,2595.4,3038.479048312478
5772,2591.2,3038.895544816702
5773,2542.6,3039.312026245095
5774,2565.6,3039.7284926008138
5775,2583.4,3040.1449438870145
5776,2549.6,3040.5613801068516
5777,2505.8,3040.977801263478
5778,2494.0,3041.394207360047
5779,2471.4,3041.810598399708
5780,2440.0,3042.2269743856123
5781,2488.2,3042.6433353209077
5782,2510.8,3043.0596812087415
5783,2549.8,3043.47601205226
5784,2535.2,3043.892327854608
5785,2528.2,3044.3086286189296
5786,2543.2,3044.7249143483673
5787,2501.8,3045.141185046062
5788,2507.2,3045.5574407151544
5789,2505.8,3045.9736813587824
5790,2514.8,3046.389906980085
5791,2493.0,3046.806117582198
5792,2548.8,3047.222313168257
5793,2549.0,3047.638493741397
5794,2509.6,3048.0546593047493
5795,2493.8,3048.4708098614465
5796,2446.8,3048.8869454146193
5797,2437.0,3049.3030659673973
5798,2440.0,3049.719171522908
5799,2385.8,3050.1352620842786
5800,2378.0,3050.5513376546355
5801,2417.8,3050.9673982371023
5802,2464.4,3051.3834438348035
5803,2478.6,3051.7994744508605
5804,2454.4,3052.215490088395
5805,2435.4,3052.6314907505266
5806,2490.4,3053.047476440374
5807,2483.4,3053.4634471610543
5808,2459.6,3053.879402915684
5809,2445.0,3054.295343707379
5810,2459.6,3054.711269539252
5811,2476.2,3055.1271804144167
5812,2515.2,3055.543076335984
5813,2498.6,3055.9589573070643
5814,2491.6,3056.3748233307674
5815,2547.4,3056.790674410201
5816,2501.6,3057.206510548472
5817,2477.0,3057.622331748686
5818,2501.6,3058.0381380139474
5819,2444.2,3058.45392934736
5820,2490.4,3058.869705752025
5821,2513.0,3059.285467231044
5822,2492.8,3059.7012137875163
5823,2505.0,3060.1169454245414
5824,2504.4,3060.532662145216
5825,2520.2,3060.948363952636
5826,2544.4,3061.3640508498975
5827,2545.8,3061.7797228400937
5828,2602.8,3062.195379926317
5829,2606.6,3062.61102211166
5830,2626.4,3063.0266493992126
5831,2651.4,3063.4422617920636
5832,2674.8,3063.8578592933013
5833,2724.2,3064.2734419060125
5834,2768.0,3064.6890096332836
5835,2789.8,3065.1045624781977
5836,2790.8,3065.5201004438395
5837,2741.0,3065.9356235332907
5838,2693.2,3066.3511317496323
5839,2668.2,3066.766625095944
5840,2691.6,3067.182103575305
5841,2674.6,3067.5975671907927
5842,2736.4,3068.013015945483
5843,2721.8,3068.4284498424513
5844,2742.4,3068.843868884772
5845,2713.8,3069.2592730755177
5846,2705.2,3069.6746624177604
5847,2706.6,3070.09003691457
5848,2705.2,3070.5053965690167
5849,2681.0,3070.9207413841677
5850,2660.8,3071.3360713630914
5851,2685.0,3071.751386508853
5852,2666.8,3072.166686824517
5853,2692.2,3072.581972313148
5854,2669.2,3072.997242977807
5855,2696.2,3073.412498821557
5856,2722.4,3073.8277398474565
5857,2676.2,3074.242966058566
5858,2680.0,3074.658177457942
5859,2665.8,3075.073374048642
5860,2700.4,3075.4885558337214
5861,2665.8,3075.903722816234
5862,2661.2,3076.318874999234
5863,2645.0,3076.7340123857725
5864,2583.6,3077.1491349789017
5865,2581.0,3077.5642427816697
5866,2569.2,3077.9793357971266
5867,2583.4,3078.3944140283197
5868,2568.4,3078.8094774782944
5869,2601.0,3079.224526150096
5870,2579.6,3079.63956004677
5871,2601.8,3080.0545791713575
5872,2570.8,3080.469583526901
5873,2577.8,3080.8845731164415
5874,2564.0,3081.299547943018
5875,2521.0,3081.714508009669
5876,2534.4,3082.1294533194314
5877,2565.8,3082.5443838753413
5878,2609.2,3082.959299680434
5879,2612.2,3083.3742007377427
5880,2569.2,3083.7890870503
5881,2565.8,3084.203958621138
5882,2529.6,3084.618815453287
5883,2495.4,3085.033657549776
5884,2487.6,3085.448484913633
5885,2421.8,3085.863297547884
5886,2426.0,3086.2780954555565
5887,2432.2,3086.6928786396743
5888,2424.8,3087.1076471032607
5889,2424.2,3087.5224008493383
5890,2425.2,3087.9371398809285
5891,2429.0,3088.3518642010513
5892,2426.0,3088.7665738127257
5893,2405.8,3089.1812687189695
5894,2426.0,3089.5959489227994
5895,2429.0,3090.0106144272313
5896,2432.8,3090.4252652352793
5897,2409.0,3090.8399013499566
5898,2471.6,3091.254522774276
5899,2442.6,3091.6691295112482
5900,2411.2,3092.083721563883
5901,2408.2,3092.4982989351897
5902,2411.2,3092.9128616281755
5903,2397.0,3093.327409645847
5904,2336.0,3093.74194299121
5905,2345.8,3094.1564616672686
5906,2346.4,3094.570965677026
5907,2304.2,3094.9854550234845
5908,2269.2,3095.3999297096448
5909,2258.6,3095.8143897385066
5910,2262.8,3096.2288351130687
5911,2245.0,3096.643265836329
5912,2255.6,3097.0576819112835
5913,2249.0,3097.472083340928
5914,2270.8,3097.8864701282564
5915,2289.8,3098.300842276262
5916,2284.0,3098.715199787937
5917,2302.6,3099.1295426662714
5918,2271.2,3099.5438709142554
5919,2292.2,3099.9581845348785
5920,2282.0,3100.3724835311273
5921,2264.2,3100.786767905988
5922,2282.0,3101.2010376624467
5923,2309.8,3101.615292803487
5924,2304.0,3102.0295333320923
5925,2245.8,3102.4437592512445
5926,2264.8,3102.857970563924
5927,2287.4,3103.2721672731113
5928,2332.4,3103.686349381785
5929,2310.6,3104.1005168929214
5930,2265.2,3104.514669809498
5931,2245.0,3104.9288081344903
5932,2265.2,3105.342931870872
5933,2244.2,3105.7570410216154
5934,2250.4,3106.171135589694
5935,2248.2,3106.585215578078
5936,2230.0,3106.999280989737
5937,2205.8,3107.41333182764
5938,2190.0,3107.827368094754
5939,2167.4,3108.2413897940455
5940,2171.2,3108.655396928481
5941,2210.6,3109.069389501023
5942,2202.0,3109.483367514636
5943,2247.4,3109.8973309722815
5944,2240.4,3110.3112798769207
5945,2222.6,3110.7252142315133
5946,2230.8,3111.1391340390173
5947,2236.2,3111.553039302392
5948,2237.6,3111.966930024592
5949,2169.8,3112.3808062085745
5950,2155.6,3112.7946678572926
5951,2147.4,3113.2085149737
5952,2150.4,3113.622347560749
5953,2189.8,3114.0361656213904
5954,2188.8,3114.4499691585743
5955,2168.2,3114.8637581752496
5956,2236.0,3115.277532674364
5957,2217.0,3115.691292658864
5958,2223.6,3116.105038131696
5959,2229.8,3116.518769095803
5960,2241.6,3116.93248555413
5961,2255.4,3117.3461875096177
5962,2249.6,3117.7598749652093
5963,2278.6,3118.173547923843
5964,2297.2,3118.587206388459
5965,2316.2,3119.0008503619956
5966,2311.2,3119.414479847388
5967,2283.4,3119.8280948475735
5968,2286.0,3120.2416953654865
5969,2291.4,3120.65528140406
5970,2311.6,3121.068852966227
5971,2313.0,3121.4824100549195
5972,2342.8,3121.895952673066
5973,2359.4,3122.309480823598
5974,2353.6,3122.7229945094423
5975,2373.8,3123.136493733526
5976,2340.8,3123.5499784987765
5977,2315.4,3123.963448808117
5978,2333.6,3124.376904664472
5979,2317.0,3124.7903460707644
5980,2330.4,3125.203773029916
5981,2330.6,3125.6171855448474
5982,2310.8,3126.030583618478
5983,2352.2,3126.4439672537264
5984,2330.8,3126.8573364535096
5985,2352.2,3127.270691220744
5986,2368.8,3127.6840315583454
5987,2362.6,3128.0973574692275
5988,2377.2,3128.5106689563036
5989,2379.4,3128.9239660224853
5990,2346.4,3129.3372486706835
5991,2398.6,3129.750516903809
5992,2427.6,3130.1637707247696
5993,2432.2,3130.5770101364733
5994,2411.2,3130.990235141827
5995,2397.8,3131.4034457437356
5996,2415.2,3131.816641945104
5997,2419.4,3132.229823748836
5998,2440.8,3132.642991157834
5999,2411.4,3133.0561441749987
6000,2437.2,3133.4692828032307
6001,2441.0,3133.8824070454284
6002,2437.2,3134.295516904491
6003,2508.2,3134.708612383315
6004,2545.2,3135.121693484796
6005,2525.0,3135.5347602118295
6006,2544.8,3135.947812567309
6007,2521.0,3136.3608505541274
6008,2538.8,3136.7738741751764
6009,2565.8,3137.186883433347
6010,2568.8,3137.5998783315276
6011,2591.4,3138.012858872608
6012,2612.4,3138.425825059475
6013,2585.8,3138.8387768950147
6014,2618.0,3139.2517143821137
6015,2628.2,3139.6646375236546
6016,2604.4,3140.077546322522
6017,2637.8,3140.490440781597
6018,2635.2,3140.903320903761
6019,2578.6,3141.3161866918945
6020,2525.6,3141.729038148876
6021,2561.0,3142.1418752775835
6022,2559.2,3142.5546980808945
6023,2569.0,3142.967506561684
6024,2578.8,3143.3803007228266
6025,2594.6,3143.7930805671967
6026,2540.0,3144.205846097667
6027,2552.2,3144.618597317108
6028,2576.4,3145.0313342283916
6029,2632.2,3145.444056834386
6030,2703.6,3145.8567651379612
6031,2665.0,3146.269459141983
6032,2652.0,3146.6821388493186
6033,2630.6,3147.094804262834
6034,2652.0,3147.5074553853915
6035,2648.2,3147.9200922198556
6036,2647.6,3148.332714769088
6037,2685.8,3148.7453230359506
6038,2665.6,3149.157917023302
6039,2738.6,3149.570496734003
6040,2813.6,3149.98306217091
6041,2822.6,3150.3956133368806
6042,2846.4,3150.808150234771
6043,2821.8,3151.220672867435
6044,2790.0,3151.6331812377275
6045,2815.4,3152.0456753485005
6046,2789.2,3152.4581552026057
6047,2763.4,3152.8706208028943
6048,2749.6,3153.283072152215
6049,2693.0,3153.6955092534176
6050,2672.8,3154.1079321093484
6051,2693.0,3154.520340722855
6052,2682.0,3154.932735096782
6053,2664.2,3155.3451152339744
6054,2649.2,3155.757481137275
6055,2704.2,3156.1698328095267
6056,2680.0,3156.58217025357
6057,2645.0,3156.994493472246
6058,2700.4,3157.4068024683943
6059,2779.4,3157.8190972448515
6060,2746.8,3158.231377804456
6061,2781.8,3158.643644150043
6062,2768.0,3159.0558962844493
6063,2747.4,3159.4681342105073
6064,2721.6,3159.88035793105
6065,2709.8,3160.292567448911
6066,2701.6,3160.7047627669194
6067,2692.2,3161.1169438879065
6068,2694.8,3161.5291108147003
6069,2686.6,3161.941263550129
6070,2679.2,3162.3534020970196
6071,2672.2,3162.7655264581977
6072,2617.6,3163.177636636488
6073,2582.6,3163.5897326347144
6074,2588.8,3164.0018144557
6075,2617.0,3164.4138821022657
6076,2627.2,3164.825935577233
6077,2634.6,3165.237974883421
6078,2636.4,3165.6500000236488
6079,2609.8,3166.062011000733
6080,2603.2,3166.4740078174914
6081,2597.0,3166.885990476739
6082,2592.4,3167.2979589812903
6083,2569.0,3167.7099133339584
6084,2563.6,3168.121853537557
6085,2539.4,3168.5337795948963
6086,2593.2,3168.9456915087876
6087,2617.0,3169.35758928204
6088,2610.4,3169.769472917462
6089,2639.4,3170.18134241786
6090,2624.0,3170.593197786042
6091,2591.4,3171.0050390248125
6092,2606.8,3171.416866136976
6093,2608.2,3171.8286791253354
6094,2607.2,3172.2404779926937
6095,2604.2,3172.652262741852
6096,2525.2,3173.06403337561
6097,2545.8,3173.4757898967678
6098,2493.2,3173.887532308123
6099,2509.8,3174.299260612473
6100,2486.8,3174.7109748126136
6101,2509.8,3175.1226749113416
6102,2538.8,3175.5343609114493
6103,2509.8,3175.94603281573
6104,2532.8,3176.3576906269777
6105,2554.6,3176.769334347982
6106,2534.8,3177.1809639815333
6107,2553.8,3177.5925795304206
6108,2564.0,3178.0041809974323
6109,2540.2,3178.4157683853555
6110,2578.4,3178.8273416969764
6111,2632.2,3179.23890093508
6112,2688.0,3179.6504461024506
6113,2710.6,3180.0619772018713
6114,2688.8,3180.4734942361233
6115,2683.4,3180.884997207989
6116,2754.0,3181.296486120247
6117,2775.4,3181.7079609756775
6118,2798.4,3182.119421777059
6119,2838.6,3182.530868527167
6120,2867.6,3182.942301228779
6121,2899.4,3183.353719884669
6122,2859.6,3183.765124497612
6123,2839.4,3184.17651507038
6124,2807.6,3184.5878916057463
6125,2783.4,3184.999254106481
6126,2783.6,3185.4106025753545
6127,2765.0,3185.821937015136
6128,2792.8,3186.233257428593
6129,2819.4,3186.644563818493
6130,2802.4,3187.0558561876023
6131,2804.2,3187.4671345386855
6132,2838.0,3187.8783988745076
6133,2761.8,3188.28964919783
6134,2756.0,3188.7008855114163
6135,2801.8,3189.112107818027
6136,2756.0,3189.523316120422
6137,2725.8,3189.9345104213608
6138,2654.0,3190.345690723601
6139,2689.8,3190.7568570299004
6140,2686.8,3191.168009343015
6141,2645.8,3191.579147665699
6142,2670.4,3191.990272000708
6143,2673.8,3192.4013823507944
6144,2718.0,3192.81247871871
6145,2724.2,3193.2235611072065
6146,2744.0,3193.6346295190338
6147,2733.8,3194.045683956941
6148,2719.2,3194.456724423677
6149,2706.6,3194.8677509219883
6150,2705.2,3195.278763454621
6151,2672.2,3195.689762024321
6152,2680.4,3196.100746633833
6153,2701.8,3196.5117172858986
6154,2697.6,3196.9226739832616
6155,2726.6,3197.3336167286625
6156,2654.8,3197.744545524842
6157,2681.8,3198.1554603745394
6158,2685.6,3198.566361280493
6159,2650.6,3198.97724824544
6160,2650.4,3199.388121272117
6161,2653.8,3199.798980363259
6162,2648.8,3200.209825521601
6163,2653.8,3200.620656749876
6164,2684.8,3201.0314740508175
6165,2677.0,3201.4422774271557
6166,2673.6,3201.853066881621
6167,2685.0,3202.2638424169445
6168,2706.4,3202.674604035853
6169,2720.2,3203.0853517410756
6170,2752.0,3203.4960855353374
6171,2775.4,3203.906805421366
6172,2761.2,3204.3175114018836
6173,2733.8,3204.728203479616
6174,2735.6,3205.138881657284
6175,2750.6,3205.549545937611
6176,2746.0,3205.960196323317
6177,2755.4,3206.3708328171224
6178,2818.4,3206.781455421745
6179,2755.4,3207.192064139903
6180,2753.2,3207.6026589743137
6181,2796.2,3208.0132399276927
6182,2786.4,3208.4238070027545
6183,2792.2,3208.8343602022137
6184,2766.0,3209.244899528783
6185,2741.0,3209.6554249851747
6186,2741.6,3210.0659365740994
6187,2745.8,3210.476434298267
6188,2754.8,3210.8869181603873
6189,2745.8,3211.2973881631683
6190,2741.6,3211.7078443093174
6191,2716.2,3212.1182866015397
6192,2692.8,3212.5287150425415
6193,2720.2,3212.9391296350263
6194,2722.8,3213.349530381698
6195,2709.0,3213.7599172852592
6196,2719.2,3214.1702903484106
6197,2646.6,3214.580649573853
6198,2638.4,3214.9909949642856
6199,2638.6,3215.401326522407
6200,2633.2,3215.811644250915
6201,2631.4,3216.2219481525062
6202,2591.2,3216.632238229876
6203,2653.0,3217.0425144857186
6204,2649.2,3217.452776922729
6205,2662.6,3217.8630255435983
6206,2601.2,3218.273260351019
6207,2587.4,3218.683481347682
6208,2575.2,3219.0936885362776
6209,2576.2,3219.5038819194942
6210,2604.8,3219.914061500019
6211,2608.2,3220.324227280541
6212,2621.2,3220.734379263745
6213,2608.2,3221.1445174523155
6214,2587.6,3221.554641848937
6215,2517.8,3221.9647524562934
6216,2528.0,3222.3748492770665
6217,2567.4,3222.784932313937
6218,2564.8,3223.195001569586
6219,2598.6,3223.605057046693
6220,2640.4,3224.015098747936
6221,2645.0,3224.425126675992
6222,2608.8,3224.8351408335384
6223,2597.8,3225.2451412232494
6224,2606.4,3225.655127847802
6225,2629.8,3226.0651007098672
6226,2596.0,3226.475059812119
6227,2635.4,3226.8850051572294
6228,2669.2,3227.294936747869
6229,2681.8,3227.7048545867074
6230,2754.0,3228.1147586764137
6231,2777.8,3228.524649019656
6232,2807.2,3228.934525619101
6233,2774.6,3229.344388477415
6234,2760.8,3229.754237597263
6235,2752.2,3230.164072981309
6236,2723.6,3230.5738946322167
6237,2717.0,3230.983702552649
6238,2690.4,3231.3934967452656
6239,2693.8,3231.803277212728
6240,2768.0,3232.213043957696
6241,2796.2,3232.6227969828274
6242,2773.2,3233.0325362907797
6243,2781.0,3233.4422618842104
6244,2790.8,3233.8519737657743
6245,2789.0,3234.261671938127
6246,2794.4,3234.671356403922
6247,2719.4,3235.0810271658115
6248,2720.4,3235.4906842264486
6249,2709.8,3235.900327588484
6250,2750.0,3236.3099572545675
6251,2752.2,3236.719573227348
6252,2763.2,3237.1291755094744
6253,2762.6,3237.538764103593
6254,2766.0,3237.948339012352
6255,2739.4,3238.3579002383944
6256,2748.0,3238.7674477843666
6257,2745.0,3239.1769816529113
6258,2753.2,3239.5865018466716
6259,2741.8,3239.996008368288
6260,2818.0,3240.4055012204026
6261,2791.4,3240.8149804056548
6262,2791.2,3241.224445926683
6263,2757.0,3241.6338977861255
6264,2778.4,3242.0433359866192
6265,2777.8,3242.4527605308003
6266,2800.4,3242.8621714213045
6267,2825.0,3243.271568660765
6268,2815.6,3243.6809522518156
6269,2813.8,3244.090322197089
6270,2795.2,3244.499678499216
6271,2840.2,3244.9090211608277
6272,2851.2,3245.3183501845533
6273,2863.4,3245.7276655730216
6274,2837.2,3246.1369673288605
6275,2849.0,3246.546255454696
6276,2803.2,3246.9555299531553
6277,2838.6,3247.3647908268626
6278,2852.4,3247.7740380784417
6279,2861.0,3248.1832717105162
6280,2871.6,3248.5924917257084
6281,2867.4,3249.001698126639
6282,2822.4,3249.410890915929
6283,2827.4,3249.8200700961975
6284,2840.8,3250.2292356700627
6285,2870.6,3250.6383876401433
6286,2871.2,3251.0475260090543
6287,2874.6,3251.456650779413
6288,2904.0,3251.865761953833
6289,2826.6,3252.274859534929
6290,2834.8,3252.6839435253137
6291,2912.2,3253.0930139275997
6292,2942.8,3253.5020707443973
6293,2967.4,3253.9111139783176
6294,2954.8,3254.320143631969
6295,2940.2,3254.7291597079607
6296,2922.4,3255.1381622088998
6297,2902.6,3255.547151137393
6298,2907.2,3255.956126496046
6299,2921.8,3256.3650882874635
6300,2950.4,3256.774036514249
6301,3025.8,3257.1829711790065
6302,2984.4,3257.5918922843366
6303,3019.4,3258.0007998328415
6304,3035.2,3258.409693827121
6305,3059.4,3258.818574269774
6306,3023.6,3259.2274411633994
6307,3005.0,3259.636294510595
6308,2970.4,3260.0451343139557
6309,2961.0,3260.453960576079
6310,2986.0,3260.8627732995587
6311,3027.4,3261.271572486989
6312,3061.2,3261.6803581409627
6313,3027.4,3262.0891302640716
6314,2997.6,3262.497888858907
6315,3025.0,3262.9066339280594
6316,3070.4,3263.3153654741172
6317,3085.0,3263.7240834996696
6318,3118.4,3264.1327880073036
6319,3128.2,3264.541478999606
6320,3164.8,3264.9501564791626
6321,3154.6,3265.3588204485577
6322,3164.8,3265.7674709103762
6323,3124.2,3266.1761078672
6324,3152.4,3266.584731321611
6325,3123.4,3266.993341276191
6326,3131.2,3267.4019377335203
6327,3161.0,3267.810520696178
6328,3171.6,3268.2190901667427
6329,3189.8,3268.6276461477914
6330,3179.2,3269.0361886419014
6331,3197.0,3269.4447176516487
6332,3184.8,3269.8532331796073
6333,3146.6,3270.2617352283514
6334,3110.4,3270.6702238004546
6335,3102.6,3271.0786988984887
6336,3072.8,3271.4871605250246
6337,3093.0,3271.895608682633
6338,3124.0,3272.304043373884
6339,3112.2,3272.712464601345
6340,3120.4,3273.120872367584
6341,3160.2,3273.5292666751684
6342,3139.2,3273.9376475266636
6343,3137.0,3274.3460149246353
6344,3059.6,3274.7543688716464
6345,3061.0,3275.162709370261
6346,3060.0,3275.5710364230413
6347,3089.0,3275.979350032548
6348,3100.0,3276.3876502013427
6349,3119.4,3276.795936931984
6350,3072.8,3277.204210227032
6351,3061.8,3277.6124700890437
6352,2988.4,3278.020716520576
6353,2977.8,3278.428949524185
6354,2946.0,3278.837169102426
6355,2916.2,3279.245375257854
6356,2895.6,3279.653567993021
6357,2882.6,3280.0617473104808
6358,2893.6,3280.4699132127844
6359,2874.6,3280.8780657024827
6360,2852.8,3281.286204782126
6361,2926.6,3281.694330454262
6362,2947.6,3282.10244272144
6363,2927.4,3282.5105415862076
6364,2898.0,3282.91862705111
6365,2901.0,3283.3266991186933
